claim_amount,previous_claim_count,days_since_last_claim,claim_category,risk_label
1492.24,1,178,HEALTH,NORMAL
23042.64,10,156,HOME,REVIEW
13269.04,9,348,LIFE,NORMAL
67798.1,5,875,AUTO,REVIEW
12271.07,8,2,HEALTH,NORMAL
50682.36,5,284,HOME,NORMAL
69456.82,2,61,HEALTH,REVIEW
58153.55,8,562,HOME,REVIEW
20057.59,2,251,HOME,NORMAL
80432.04,3,792,LIFE,NORMAL
71569.17,5,586,AUTO,REVIEW
73924.5,9,784,AUTO,REVIEW
13192.67,4,635,HEALTH,NORMAL
12463.0,5,439,HEALTH,NORMAL
92763.5,0,861,AUTO,NORMAL
39818.06,1,477,HOME,NORMAL
30164.77,0,950,LIFE,NORMAL
48909.55,0,995,HEALTH,NORMAL
66320.13,9,590,LIFE,REVIEW
95566.76,9,675,HOME,REVIEW
28715.98,9,256,HEALTH,REVIEW
92488.36,0,815,AUTO,NORMAL
2583.46,0,672,LIFE,NORMAL
55564.28,3,903,HOME,NORMAL
63434.11,6,268,HEALTH,REVIEW
10679.15,3,788,HOME,NORMAL
14119.93,5,471,HOME,NORMAL
41969.52,1,186,HEALTH,NORMAL
96626.57,8,172,HOME,REVIEW
59644.65,3,563,LIFE,NORMAL
93309.02,0,320,HOME,REVIEW
80455.66,8,102,HEALTH,REVIEW
46791.42,9,428,AUTO,REVIEW
78497.87,0,653,HOME,NORMAL
1881.89,4,319,HOME,NORMAL
11003.49,9,956,AUTO,NORMAL
82959.92,7,780,AUTO,REVIEW
79702.03,9,513,HEALTH,REVIEW
23340.81,4,935,HEALTH,NORMAL
53123.88,4,433,HEALTH,REVIEW
60640.98,7,140,AUTO,REVIEW
86787.12,1,36,AUTO,REVIEW
60350.41,2,939,AUTO,NORMAL
41315.9,6,960,HEALTH,NORMAL
37480.99,7,740,LIFE,NORMAL
42645.62,1,104,AUTO,NORMAL
65227.91,5,294,HEALTH,REVIEW
86762.31,4,42,AUTO,REVIEW
45444.3,5,52,AUTO,REVIEW
24859.17,10,247,AUTO,REVIEW
23742.57,0,573,AUTO,NORMAL
74626.83,10,66,HEALTH,REVIEW
81675.22,4,985,LIFE,NORMAL
10617.28,8,456,AUTO,NORMAL
6749.23,4,264,HOME,NORMAL
59483.92,3,517,HEALTH,REVIEW
14702.71,8,791,LIFE,NORMAL
82483.95,7,313,HEALTH,REVIEW
31102.43,1,48,AUTO,NORMAL
14472.81,7,51,HEALTH,NORMAL
92104.95,8,852,AUTO,REVIEW
16636.62,4,112,LIFE,NORMAL
28543.54,10,636,HOME,NORMAL
15445.98,7,385,HEALTH,NORMAL
11637.46,3,778,AUTO,NORMAL
2212.69,0,61,HOME,NORMAL
5634.0,7,898,LIFE,NORMAL
17546.68,2,699,HEALTH,NORMAL
5432.86,8,450,HOME,NORMAL
59155.27,5,208,LIFE,NORMAL
68103.38,5,978,LIFE,NORMAL
39423.68,1,303,AUTO,NORMAL
31867.31,7,491,HOME,NORMAL
50502.17,1,395,HOME,NORMAL
87512.99,4,231,HEALTH,REVIEW
85128.05,9,417,AUTO,REVIEW
4443.16,10,152,AUTO,NORMAL
18231.69,10,2,LIFE,NORMAL
23750.81,10,290,LIFE,REVIEW
25013.82,6,113,HEALTH,REVIEW
57166.14,2,415,LIFE,NORMAL
41684.62,9,863,HEALTH,NORMAL
5020.49,8,163,HEALTH,NORMAL
37424.05,10,2,HEALTH,REVIEW
52422.92,7,112,HOME,REVIEW
10257.02,1,509,HOME,NORMAL
83362.51,5,275,AUTO,REVIEW
5290.99,4,490,HEALTH,NORMAL
92491.7,9,30,AUTO,REVIEW
10001.4,4,334,AUTO,NORMAL
84373.14,3,411,HOME,REVIEW
90275.05,0,432,HOME,NORMAL
97959.11,9,552,AUTO,REVIEW
80222.39,8,781,HEALTH,REVIEW
77969.81,0,468,LIFE,NORMAL
64284.08,4,842,AUTO,NORMAL
77921.74,5,530,AUTO,REVIEW
13541.77,5,261,AUTO,NORMAL
53653.2,10,230,HEALTH,REVIEW
51470.86,1,323,HEALTH,NORMAL
85771.46,3,598,AUTO,REVIEW
46333.66,1,243,HEALTH,NORMAL
38570.44,2,915,AUTO,NORMAL
63992.37,9,480,HOME,REVIEW
26719.69,10,864,LIFE,NORMAL
14062.86,0,684,AUTO,NORMAL
47839.94,6,334,AUTO,REVIEW
41747.25,2,229,HOME,NORMAL
23333.74,2,744,HEALTH,NORMAL
36814.43,3,331,LIFE,NORMAL
36702.61,2,247,LIFE,NORMAL
32816.81,5,931,AUTO,NORMAL
38008.46,10,483,AUTO,REVIEW
68605.76,6,49,HEALTH,REVIEW
29757.96,7,495,AUTO,NORMAL
94890.91,5,461,LIFE,REVIEW
91643.17,0,864,HEALTH,NORMAL
48142.95,0,712,AUTO,NORMAL
32903.28,2,192,HEALTH,NORMAL
53589.94,2,151,AUTO,NORMAL
84871.19,9,604,HOME,REVIEW
65293.48,9,48,HOME,REVIEW
80458.74,9,320,HOME,REVIEW
53318.96,7,139,HEALTH,REVIEW
63328.47,6,21,HEALTH,REVIEW
28886.75,7,919,LIFE,NORMAL
73515.83,4,90,LIFE,NORMAL
20320.22,7,10,HOME,NORMAL
69510.33,8,933,AUTO,REVIEW
86085.83,8,189,HEALTH,REVIEW
13297.07,6,817,LIFE,NORMAL
61476.54,0,32,AUTO,NORMAL
9600.07,7,154,HOME,NORMAL
72598.99,4,111,HOME,REVIEW
8540.87,8,707,AUTO,NORMAL
93600.39,5,621,HEALTH,REVIEW
13827.05,9,476,HOME,NORMAL
95892.14,3,242,HEALTH,REVIEW
80108.33,10,89,HEALTH,REVIEW
59408.83,9,570,HEALTH,REVIEW
78284.15,3,231,HOME,REVIEW
79531.97,5,591,AUTO,REVIEW
94608.1,5,688,HEALTH,REVIEW
25413.0,8,850,HEALTH,NORMAL
59048.58,7,494,HOME,REVIEW
9595.41,9,5,LIFE,NORMAL
61654.95,4,281,AUTO,NORMAL
17212.0,5,854,LIFE,NORMAL
56538.57,4,534,AUTO,NORMAL
57285.81,10,620,AUTO,REVIEW
46651.92,3,458,HOME,NORMAL
52310.91,6,163,AUTO,NORMAL
76415.95,1,897,AUTO,NORMAL
79944.55,9,773,AUTO,REVIEW
49266.11,4,996,HOME,NORMAL
59999.38,3,856,HEALTH,NORMAL
93130.5,6,292,AUTO,REVIEW
12061.39,5,255,HEALTH,NORMAL
11798.65,9,249,HEALTH,REVIEW
8862.13,5,919,AUTO,NORMAL
65820.54,5,557,AUTO,NORMAL
41918.97,1,455,LIFE,NORMAL
77454.71,0,969,HEALTH,NORMAL
67156.02,4,604,HOME,NORMAL
33430.41,10,910,HEALTH,REVIEW
89846.82,10,985,AUTO,REVIEW
76276.96,6,80,HOME,REVIEW
27126.44,6,362,HEALTH,NORMAL
36482.78,4,735,AUTO,NORMAL
31512.55,1,814,HEALTH,NORMAL
15845.4,0,149,HOME,NORMAL
14863.56,3,319,HEALTH,NORMAL
93619.13,3,549,HOME,REVIEW
43846.61,2,800,HOME,NORMAL
38393.65,2,113,AUTO,NORMAL
72995.6,0,601,AUTO,NORMAL
55344.01,6,297,HEALTH,REVIEW
93620.38,10,217,AUTO,REVIEW
78052.12,7,516,AUTO,REVIEW
47989.02,4,415,AUTO,NORMAL
37698.31,4,636,AUTO,NORMAL
98664.49,3,318,HEALTH,REVIEW
71804.25,1,824,HOME,NORMAL
95124.35,6,79,LIFE,REVIEW
11936.01,6,862,AUTO,NORMAL
85068.31,0,30,HEALTH,REVIEW
63743.68,4,736,HOME,NORMAL
12279.98,3,347,HOME,NORMAL
58866.97,1,384,LIFE,NORMAL
68641.03,7,20,LIFE,REVIEW
1329.04,5,703,LIFE,NORMAL
45486.36,6,166,AUTO,REVIEW
82557.41,7,660,AUTO,REVIEW
29606.37,10,726,HEALTH,NORMAL
45908.95,8,846,AUTO,NORMAL
44287.18,6,709,HEALTH,NORMAL
